RA,Ano,Nome,Fase,Turma,Genero,Ano_ingresso,Instituicao,Idade,Pedra,INDE,IAA,IEG,IPS,IPP,IDA,IPV,IAN,Defasagem,Mat,Por,Ing,Atingiu_PV,Indicado_bolsa,Fase_ideal,Tempo_PM,Em_defasagem
RA-1116,2023,Aluno-1116,FASE 2,2K,Masculino,2023,Pública,13.0,Ágata,6.956533333,9.5,9.2,5.0,7.083333333,4.9,7.39,5.0,-1,3.8,6.0,,,,Fase 3 (7° e 8° ano),0.0,1
RA-604,2023,Aluno-604,FASE 2,2K,Feminino,2021,Pública,,Topázio,8.548033333,9.0,9.3,7.52,8.125,7.5,8.616666667,10.0,0,6.0,9.0,,,,Fase 2 (5° e 6° ano),2.0,0
RA-605,2023,Aluno-605,FASE 2,2K,Feminino,2021,Pública,12.0,Ametista,7.709366667,9.0,9.5,7.52,7.291666667,6.8,7.84,5.0,-1,4.8,8.8,,,,Fase 3 (7° e 8° ano),2.0,1
RA-668,2023,Aluno-668,FASE 2,2K,Masculino,2022,Pública,12.0,Ágata,6.017933333,6.3,6.3,7.52,6.875,3.4,7.616666667,5.0,-1,2.7,4.0,,,,Fase 3 (7° e 8° ano),1.0,1
RA-1117,2023,Aluno-1117,FASE 2,2K,Feminino,2023,Pública,,Topázio,8.382366667,9.0,9.6,7.52,7.708333333,7.3,7.946666667,10.0,0,6.0,8.5,,,,Fase 2 (5° e 6° ano),0.0,0
RA-1118,2023,Aluno-1118,FASE 2,2K,Feminino,2023,Pública,,Ametista,7.163833333,5.3,8.8,7.52,7.708333333,6.0,8.28,5.0,-1,4.8,7.2,,,,Fase 3 (7° e 8° ano),0.0,1
RA-610,2023,Aluno-610,FASE 2,2K,Feminino,2022,Pública,,Topázio,8.2857,10.0,10.0,2.52,8.541666667,7.0,8.896666667,10.0,0,6.3,7.7,,,,Fase 2 (5° e 6° ano),1.0,0
RA-409,2023,Aluno-409,FASE 2,2K,Feminino,2022,Pública,,Ametista,7.621466667,8.4,9.5,2.52,7.916666667,8.0,8.73,5.0,-1,6.2,9.7,,,,Fase 3 (7° e 8° ano),1.0,1
RA-466,2023,Aluno-466,FASE 2,2L,Masculino,2022,Pública,14.0,Ágata,6.595533333,9.5,7.6,6.89,6.25,4.5,7.056666667,5.0,-2,2.5,6.5,,,,Fase 4 (9° ano),1.0,1
RA-760,2023,Aluno-760,FASE 2,2L,Masculino,2021,Pública,,Ágata,6.548333333,0.0,8.8,7.52,7.083333333,6.3,7.84,5.0,-1,5.8,6.8,,,,Fase 3 (7° e 8° ano),2.0,1
RA-404,2023,Aluno-404,FASE 2,2L,Feminino,2020,Pública,,Ágata,6.7093,7.9,8.3,5.02,6.875,6.0,6.89,5.0,-1,4.7,7.2,,,,Fase 3 (7° e 8° ano),3.0,1
RA-590,2023,Aluno-590,FASE 2,2L,Feminino,2020,Privada,11.0,Ametista,7.647666667,6.3,9.7,3.77,7.291666667,6.5,8.34,10.0,0,5.7,7.3,,,,Fase 2 (5° e 6° ano),3.0,0
RA-469,2023,Aluno-469,FASE 2,2L,Feminino,2022,Pública,,Ametista,7.482533333,7.5,9.3,2.52,7.916666667,7.8,8.843333333,5.0,-1,6.8,8.8,,,,Fase 3 (7° e 8° ano),1.0,1
RA-1119,2023,Aluno-1119,FASE 2,2L,Feminino,2023,Pública,13.0,Ametista,7.192,7.3,9.7,3.77,7.708333333,5.9,8.453333333,5.0,-1,3.0,8.8,,,,Fase 3 (7° e 8° ano),0.0,1
RA-1120,2023,Aluno-1120,FASE 2,2L,Feminino,2023,Pública,11.0,Topázio,9.103366667,9.5,9.6,7.52,8.958333333,8.3,9.676666667,10.0,0,7.3,9.2,,,,Fase 2 (5° e 6° ano),0.0,0
RA-472,2023,Aluno-472,FASE 2,2L,Feminino,2022,Pública,,Ágata,6.6858,5.1,7.1,7.52,7.708333333,5.5,8.223333333,5.0,-1,3.7,7.2,,,,Fase 3 (7° e 8° ano),1.0,1
RA-1121,2023,Aluno-1121,FASE 2,2L,Masculino,2023,Pública,,Topázio,8.049,0.0,9.9,6.26,8.75,8.0,9.84,10.0,0,6.5,9.5,,,,Fase 2 (5° e 6° ano),0.0,0
RA-1122,2023,Aluno-1122,FASE 2,2L,Masculino,2023,Pública,11.0,Ametista,7.3715,0.0,9.3,6.89,7.291666667,6.9,8.616666667,10.0,0,5.2,8.5,,,,Fase 2 (5° e 6° ano),0.0,0
RA-438,2023,Aluno-438,FASE 2,2L,Masculino,2022,Pública,,Ágata,6.9883,6.9,7.5,6.26,6.458333333,5.4,7.223333333,10.0,0,3.5,7.3,,,,Fase 2 (5° e 6° ano),1.0,0
RA-408,2023,Aluno-408,FASE 2,2L,Feminino,2022,Pública,13.0,Ametista,7.242133333,7.9,8.5,3.77,8.333333333,6.8,8.45,5.0,-1,6.0,7.5,,,,Fase 3 (7° e 8° ano),1.0,1
RA-1123,2023,Aluno-1123,FASE 2,2L,Masculino,2023,Pública,,Ágata,6.9565,7.3,8.9,7.52,7.083333333,5.3,7.113333333,5.0,-1,3.8,6.8,,,,Fase 3 (7° e 8° ano),0.0,1
RA-1124,2023,Aluno-1124,FASE 2,2M,Feminino,2023,Pública,14.0,Ágata,6.667866667,9.5,8.0,7.52,7.083333333,3.0,7.786666667,5.0,-2,1.0,5.0,,,,Fase 4 (9° ano),0.0,1
RA-623,2023,Aluno-623,FASE 2,2M,Masculino,2022,Pública,14.0,Ametista,7.8307,10.0,9.5,7.52,7.291666667,7.3,7.446666667,5.0,-2,5.8,8.8,,,,Fase 4 (9° ano),1.0,1
RA-661,2023,Aluno-661,FASE 2,2M,Masculino,2022,Pública,,Ágata,6.846333333,0.0,7.7,6.89,7.5,6.5,7.836666667,10.0,0,4.3,8.7,,,,Fase 2 (5° e 6° ano),1.0,0
RA-626,2023,Aluno-626,FASE 2,2M,Masculino,2021,Pública,12.0,Ametista,7.231033333,9.0,9.2,4.39,7.291666667,6.5,7.613333333,5.0,-1,4.7,8.3,,,,Fase 3 (7° e 8° ano),2.0,1
RA-433,2023,Aluno-433,FASE 2,2M,Masculino,2022,Pública,,Ágata,6.5982,8.5,7.2,7.52,5.833333333,4.8,7.613333333,5.0,-1,1.8,7.7,,,,Fase 3 (7° e 8° ano),1.0,1
RA-614,2023,Aluno-614,FASE 2,2M,Masculino,2021,Pública,13.0,Topázio,8.2282,9.0,9.1,7.52,8.333333333,8.6,8.563333333,5.0,-1,8.8,8.3,,,,Fase 3 (7° e 8° ano),2.0,1
RA-434,2023,Aluno-434,FASE 2,2M,Masculino,2022,Pública,12.0,Ametista,7.069766667,6.3,8.0,7.52,7.5,6.6,7.613333333,5.0,-1,5.2,8.0,,,,Fase 3 (7° e 8° ano),1.0,1
RA-603,2023,Aluno-603,FASE 2,2M,Masculino,2022,Pública,11.0,Ágata,6.748833333,0.0,8.9,2.52,7.708333333,7.0,7.78,10.0,0,5.7,8.2,,,,Fase 2 (5° e 6° ano),1.0,0
RA-436,2023,Aluno-436,FASE 2,2M,Masculino,2022,Pública,12.0,Quartzo,5.322366667,7.5,4.7,2.52,6.875,3.4,7.613333333,5.0,-1,3.7,3.0,,,,Fase 3 (7° e 8° ano),1.0,1
RA-616,2023,Aluno-616,FASE 2,2M,Masculino,2019,Pública,,Quartzo,5.612,0.0,6.6,5.02,5.833333333,6.8,6.783333333,5.0,-1,5.5,8.0,,,,Fase 3 (7° e 8° ano),4.0,1
RA-437,2023,Aluno-437,FASE 2,2M,Masculino,2022,Pública,,Ágata,6.947366667,8.0,8.4,7.52,7.291666667,4.7,7.78,5.0,-2,2.5,6.8,,,,Fase 4 (9° ano),1.0,1
RA-1125,2023,Aluno-1125,FASE 2,2M,Feminino,2023,Pública,,Ágata,6.655366667,4.7,7.9,7.52,6.666666667,4.0,6.95,10.0,0,1.0,7.0,,,,Fase 2 (5° e 6° ano),0.0,0
RA-619,2023,Aluno-619,FASE 2,2M,Feminino,2021,Pública,11.0,Ametista,7.891366667,9.0,7.1,3.77,7.708333333,9.0,8.116666667,10.0,0,8.5,9.5,,,,Fase 2 (5° e 6° ano),2.0,0
RA-620,2023,Aluno-620,FASE 2,2M,Masculino,2021,Pública,13.0,Ametista,7.043666667,6.8,8.4,7.52,6.875,6.2,7.503333333,5.0,-1,5.2,7.2,,,,Fase 3 (7° e 8° ano),2.0,1
RA-1127,2023,Aluno-1127,FASE 2,2N,Feminino,2023,Pública,,Topázio,8.3167,8.5,9.9,5.02,8.125,6.9,9.01,10.0,0,5.0,8.7,,,,Fase 2 (5° e 6° ano),0.0,0
RA-1128,2023,Aluno-1128,FASE 2,2N,Masculino,2023,Pública,12.0,Ágata,6.404533333,9.5,7.3,5.02,7.916666667,3.5,7.503333333,5.0,-1,3.0,4.0,,,,Fase 3 (7° e 8° ano),0.0,1
RA-1129,2023,Aluno-1129,FASE 2,2N,Masculino,2023,Pública,11.0,Ametista,7.309333333,0.0,9.2,6.27,7.916666667,7.8,7.503333333,10.0,0,6.8,8.7,,,,Fase 2 (5° e 6° ano),0.0,0
RA-1130,2023,Aluno-1130,FASE 2,2N,Masculino,2023,Pública,11.0,Topázio,8.0037,8.5,8.4,7.52,7.708333333,7.3,7.503333333,10.0,0,6.3,8.2,,,,Fase 2 (5° e 6° ano),0.0,0
RA-1131,2023,Aluno-1131,FASE 2,2N,Feminino,2023,Pública,12.0,Topázio,8.316133333,7.9,9.9,5.02,8.75,9.1,9.286666667,5.0,-1,8.3,9.8,,,,Fase 3 (7° e 8° ano),0.0,1
RA-1132,2023,Aluno-1132,FASE 2,2N,Masculino,2023,Pública,12.0,Ágata,6.829533333,10.0,6.3,6.27,7.916666667,5.8,7.503333333,5.0,-1,5.2,6.3,,,,Fase 3 (7° e 8° ano),0.0,1
RA-1133,2023,Aluno-1133,FASE 2,2N,Feminino,2023,Pública,10.0,Topázio,8.600033333,9.5,10.0,6.27,8.541666667,6.5,9.343333333,10.0,0,5.0,8.0,,,,Fase 2 (5° e 6° ano),0.0,0
RA-1134,2023,Aluno-1134,FASE 2,2N,Masculino,2023,Pública,11.0,Ametista,7.769866667,8.0,9.7,3.76,7.916666667,6.8,7.56,10.0,0,5.5,8.0,,,,Fase 2 (5° e 6° ano),0.0,0
RA-618,2023,Aluno-618,FASE 2,2N,Masculino,2020,Pública,,Ágata,6.4745,0.0,9.2,5.02,8.125,6.2,7.95,5.0,-2,4.5,7.8,,,,Fase 4 (9° ano),3.0,1
RA-631,2023,Aluno-631,FASE 2,2N,Masculino,2022,Pública,13.0,Quartzo,5.954666667,0.0,6.4,6.27,7.916666667,7.0,6.78,5.0,-1,6.0,8.0,,,,Fase 3 (7° e 8° ano),1.0,1
RA-646,2023,Aluno-646,FASE 2,2P,Masculino,2019,Pública,13.0,Topázio,8.3547,10.0,8.9,7.52,8.958333333,8.4,8.783333333,5.0,-1,8.2,8.5,,,,Fase 3 (7° e 8° ano),4.0,1
RA-451,2023,Aluno-451,FASE 2,2P,Feminino,2019,Pública,14.0,Topázio,8.386033333,8.5,9.5,4.39,9.375,8.9,9.896666667,5.0,-2,7.8,10.0,,,,Fase 4 (9° ano),4.0,1
RA-1135,2023,Aluno-1135,FASE 2,2P,Masculino,2023,Pública,11.0,Ametista,7.453833333,0.0,9.4,7.52,8.125,7.2,7.896666667,10.0,0,4.8,9.5,,,,Fase 2 (5° e 6° ano),0.0,0
RA-649,2023,Aluno-649,FASE 2,2P,Feminino,2019,Pública,,Ametista,7.579533333,9.0,9.3,3.77,8.75,6.5,8.836666667,5.0,-1,3.8,9.2,,,,Fase 3 (7° e 8° ano),4.0,1
RA-651,2023,Aluno-651,FASE 2,2P,Feminino,2022,Pública,,Ametista,7.332,0.0,8.2,3.77,8.75,9.3,7.95,10.0,0,9.8,8.7,,,,Fase 2 (5° e 6° ano),1.0,0
RA-1136,2023,Aluno-1136,FASE 2,2P,Feminino,2023,Pública,13.0,Ágata,6.7351,6.8,8.1,2.52,8.333333333,6.6,7.723333333,5.0,-1,4.8,8.3,,,,Fase 3 (7° e 8° ano),0.0,1
RA-653,2023,Aluno-653,FASE 2,2P,Feminino,2022,Pública,12.0,Ametista,7.385666667,0.0,9.8,6.27,9.166666667,7.9,9.06,5.0,-1,7.7,8.0,,,,Fase 3 (7° e 8° ano),1.0,1
RA-456,2023,Aluno-456,FASE 2,2P,Feminino,2022,Pública,12.0,Ametista,7.518,0.0,8.3,4.39,9.583333333,9.9,9.953333333,5.0,-1,9.7,10.0,,,,Fase 3 (7° e 8° ano),1.0,1
RA-655,2023,Aluno-655,FASE 2,2P,Feminino,2019,Pública,13.0,Topázio,8.3198,7.4,9.9,7.52,9.166666667,8.3,8.896666667,5.0,-1,7.2,9.3,,,,Fase 3 (7° e 8° ano),4.0,1
RA-656,2023,Aluno-656,FASE 2,2P,Feminino,2020,Pública,12.0,Ágata,6.780833333,0.0,8.9,7.52,8.541666667,7.3,7.173333333,5.0,-1,5.8,8.8,,,,Fase 3 (7° e 8° ano),3.0,1
RA-657,2023,Aluno-657,FASE 2,2P,Feminino,2021,Pública,,Topázio,8.3532,8.5,10.0,7.52,8.75,8.2,8.73,5.0,-1,7.0,9.3,,,,Fase 3 (7° e 8° ano),2.0,1
RA-644,2023,Aluno-644,FASE 2,2P,Feminino,2021,Pública,,Ágata,6.897033333,10.0,5.6,7.52,8.541666667,5.9,7.503333333,5.0,-1,4.0,7.7,,,,Fase 3 (7° e 8° ano),2.0,1
RA-461,2023,Aluno-461,FASE 2,2P,Feminino,2018,Pública,12.0,Ametista,7.2379,7.3,7.9,3.77,8.541666667,7.4,8.616666667,5.0,-1,5.7,9.0,,,,Fase 3 (7° e 8° ano),5.0,1
RA-632,2023,Aluno-632,FASE 2,2R,Feminino,2022,Pública,11.0,Ametista,7.8768,4.7,9.1,5.64,8.333333333,7.4,8.563333333,10.0,0,6.8,8.0,,,,Fase 2 (5° e 6° ano),1.0,0
RA-633,2023,Aluno-633,FASE 2,2R,Feminino,2020,Pública,,Ágata,6.6552,1.7,8.1,6.27,8.541666667,7.2,7.286666667,5.0,-1,5.3,9.0,,,,Fase 3 (7° e 8° ano),3.0,1
RA-1137,2023,Aluno-1137,FASE 2,2R,Feminino,2023,Pública,10.0,Topázio,8.743366667,9.5,9.8,6.27,9.375,6.5,9.843333333,10.0,0,6.0,7.0,,,,Fase 2 (5° e 6° ano),0.0,0
RA-1138,2023,Aluno-1138,FASE 2,2R,Feminino,2023,Pública,12.0,Topázio,8.3472,9.0,9.2,6.27,9.166666667,9.3,8.566666667,5.0,-1,9.0,9.5,,,,Fase 3 (7° e 8° ano),0.0,1
RA-1139,2023,Aluno-1139,FASE 2,2R,Masculino,2023,Pública,11.0,Ametista,7.6647,8.5,9.1,5.64,8.125,5.3,7.79,10.0,0,6.3,4.3,,,,Fase 2 (5° e 6° ano),0.0,0
RA-1140,2023,Aluno-1140,FASE 2,2R,Feminino,2023,Pública,11.0,Ametista,7.703533333,4.7,8.7,7.52,7.708333333,7.3,7.62,10.0,0,8.5,6.0,,,,Fase 2 (5° e 6° ano),0.0,0
RA-445,2023,Aluno-445,FASE 2,2R,Masculino,2022,Pública,13.0,Ametista,7.9087,8.0,8.8,6.89,8.541666667,8.4,8.176666667,5.0,-1,7.7,9.0,,,,Fase 3 (7° e 8° ano),1.0,1
RA-1141,2023,Aluno-1141,FASE 2,2R,Feminino,2023,Pública,12.0,Ametista,7.2757,9.0,8.8,7.52,7.708333333,5.9,7.113333333,5.0,-1,5.5,6.2,,,,Fase 3 (7° e 8° ano),0.0,1
RA-639,2023,Aluno-639,FASE 2,2R,Feminino,2021,Pública,11.0,Ametista,7.5853,7.4,8.1,6.27,8.125,6.3,7.62,10.0,0,4.8,7.8,,,,Fase 2 (5° e 6° ano),2.0,0
RA-1142,2023,Aluno-1142,FASE 2,2R,Feminino,2023,Pública,11.0,Topázio,9.175033333,9.0,10.0,7.52,8.541666667,10.0,8.343333333,10.0,0,10.0,10.0,,,,Fase 2 (5° e 6° ano),0.0,0
RA-642,2023,Aluno-642,FASE 2,2R,Feminino,2021,Pública,,Topázio,8.416866667,9.5,9.2,6.27,8.75,6.5,9.173333333,10.0,0,5.7,7.2,,,,Fase 2 (5° e 6° ano),2.0,0
RA-658,2023,Aluno-658,FASE 2,2U,Feminino,2022,Pública,10.0,Topázio,8.438533333,9.5,9.5,7.52,7.916666667,6.1,9.173333333,10.0,0,5.3,6.8,,,,Fase 2 (5° e 6° ano),1.0,0
RA-588,2023,Aluno-588,FASE 2,2U,Feminino,2021,Privada - Programa de Apadrinhamento,10.0,Topázio,8.3527,8.0,9.6,2.52,8.958333333,7.8,9.673333333,10.0,0,7.5,8.0,,,,Fase 2 (5° e 6° ano),2.0,0
RA-662,2023,Aluno-662,FASE 2,2U,Feminino,2022,Pública,12.0,Ágata,6.733566667,6.8,7.6,6.27,7.291666667,6.7,6.72,5.0,-1,4.3,9.0,,,,Fase 3 (7° e 8° ano),1.0,1
RA-403,2023,Aluno-403,FASE 2,2U,Masculino,2020,Pública,,Ametista,7.716366667,8.5,8.8,6.27,7.291666667,7.8,8.45,5.0,-1,6.8,8.8,,,,Fase 3 (7° e 8° ano),3.0,1
RA-591,2023,Aluno-591,FASE 2,2U,Masculino,2021,Pública,,Ametista,7.1472,9.0,8.5,6.27,5.833333333,6.9,7.333333333,5.0,-1,6.2,7.5,,,,Fase 3 (7° e 8° ano),2.0,1
RA-592,2023,Aluno-592,FASE 2,2U,Feminino,2020,Privada,11.0,Ametista,7.935466667,6.2,9.2,3.77,7.916666667,7.6,8.95,10.0,0,5.5,9.7,,,,Fase 2 (5° e 6° ano),3.0,0
RA-602,2023,Aluno-602,FASE 2,2U,Masculino,2019,Pública,12.0,Topázio,8.5592,10.0,9.6,7.52,8.75,8.1,9.51,5.0,-1,7.3,8.8,,,,Fase 3 (7° e 8° ano),4.0,1
RA-666,2023,Aluno-666,FASE 2,2U,Masculino,2022,Pública,,Topázio,8.720366667,9.5,9.1,7.52,8.541666667,7.1,9.62,10.0,0,6.7,7.5,,,,Fase 2 (5° e 6° ano),1.0,0
RA-667,2023,Aluno-667,FASE 2,2U,Masculino,2021,Pública,12.0,Ágata,6.774866667,9.0,6.9,6.89,7.083333333,5.2,7.836666667,5.0,-1,3.0,7.3,,,,Fase 3 (7° e 8° ano),2.0,1
RA-422,2023,Aluno-422,FASE 2,2U,Masculino,2022,Pública,,Quartzo,5.57,0.0,7.8,7.52,6.666666667,4.4,6.106666667,5.0,-1,3.0,5.7,,,,Fase 3 (7° e 8° ano),1.0,1
RA-595,2023,Aluno-595,FASE 2,2U,Masculino,2018,Pública,,Quartzo,5.078666667,0.0,7.0,7.52,6.666666667,3.3,5.55,5.0,-1,3.2,3.3,,,,Fase 3 (7° e 8° ano),5.0,1
RA-423,2023,Aluno-423,FASE 2,2U,Feminino,2022,Pública,13.0,Ágata,6.607533333,8.0,8.7,6.89,7.083333333,3.4,7.45,5.0,-1,2.3,4.5,,,,Fase 3 (7° e 8° ano),1.0,1
RA-669,2023,Aluno-669,FASE 2,2U,Masculino,2022,Pública,11.0,Ametista,7.345033333,8.5,7.8,7.52,7.708333333,5.0,7.06,10.0,0,3.3,6.7,,,,Fase 2 (5° e 6° ano),1.0,0
RA-670,2023,Aluno-670,FASE 2,2U,Feminino,2022,Pública,,Topázio,8.6067,9.5,8.7,7.52,8.958333333,7.0,9.343333333,10.0,0,5.8,8.2,,,,Fase 2 (5° e 6° ano),1.0,0
RA-609,2023,Aluno-609,FASE 2,2U,Masculino,2019,Pública,,Ágata,6.463033333,9.5,6.4,7.52,6.875,5.3,6.216666667,5.0,-1,3.2,7.3,,,,Fase 3 (7° e 8° ano),4.0,1
RA-326,2023,Aluno-326,FASE 3,3A,Feminino,2022,Privada,13.0,Topázio,8.65075,9.6,9.4,3.14,9.0625,8.2,9.76,10.0,0,8.3,7.5,8.8,,,Fase 3 (7° e 8° ano),1.0,0
RA-179,2023,Aluno-179,FASE 3,3A,Masculino,2022,Pública,12.0,Topázio,8.437641667,8.8,9.4,7.52,8.59375,6.4,8.9225,10.0,0,8.7,6.3,4.3,,,Fase 3 (7° e 8° ano),1.0,0
RA-1143,2023,Aluno-1143,FASE 3,3A,Feminino,2023,Pública,15.0,Ágata,6.445933333,8.8,7.0,6.26,7.5,5.3,6.2075,5.0,-2,6.0,6.3,3.5,,,Fase 5 (1° EM),0.0,1
RA-330,2023,Aluno-330,FASE 3,3A,Feminino,2018,Pública,,Ágata,6.084875,9.6,7.2,6.89,6.71875,3.3,5.8275,5.0,-2,3.8,3.8,2.3,,,Fase 5 (1° EM),5.0,1
RA-332,2023,Aluno-332,FASE 3,3A,Masculino,2017,Privada - Programa de Apadrinhamento,,Topázio,8.002591667,9.2,8.4,8.76,8.28125,6.8,9.175,5.0,-1,6.3,7.7,6.5,,,Fase 4 (9° ano),6.0,1
RA-199,2023,Aluno-199,FASE 3,3A,Masculino,2022,Privada,,Ametista,7.892341667,9.2,7.6,7.51,7.96875,8.5,8.505,5.0,-1,8.2,8.2,9.2,,,Fase 4 (9° ano),1.0,1
RA-1144,2023,Aluno-1144,FASE 3,3B,Feminino,2023,Pública,13.0,Ametista,7.410625,0.0,9.4,5.02,8.28125,8.0,8.0025,10.0,0,7.0,8.2,8.8,,,Fase 3 (7° e 8° ano),0.0,0
RA-352,2023,Aluno-352,FASE 3,3B,Masculino,2019,Pública,12.0,Ametista,7.840341667,9.2,8.1,6.26,7.96875,7.2,7.17,10.0,0,8.2,6.0,7.5,,,Fase 3 (7° e 8° ano),4.0,0
RA-1145,2023,Aluno-1145,FASE 3,3B,Feminino,2023,Pública,11.0,Ametista,7.484375,0.0,9.5,4.39,8.59375,7.8,8.63,10.0,1,7.7,7.7,8.0,,,Fase 2 (5° e 6° ano),0.0,0
RA-1146,2023,Aluno-1146,FASE 3,3B,Feminino,2023,Pública,14.0,Ágata,6.689583333,9.6,8.8,6.26,7.1875,3.7,6.965,5.0,-1,5.0,3.3,2.7,,,Fase 4 (9° ano),0.0,1
RA-331,2023,Aluno-331,FASE 3,3B,Feminino,2019,Pública,13.0,Ametista,7.039791667,9.6,8.6,2.52,7.03125,5.2,6.7975,10.0,0,5.7,4.8,5.2,,,Fase 3 (7° e 8° ano),4.0,0
RA-227,2023,Aluno-227,FASE 3,3B,Masculino,2022,Pública,,Ametista,7.722125,9.6,7.5,5.63,8.28125,6.9,7.4625,10.0,0,7.2,6.5,7.0,,,Fase 3 (7° e 8° ano),1.0,0
RA-247,2023,Aluno-247,FASE 3,3B,Feminino,2021,Pública,13.0,Ametista,7.221958333,0.0,8.5,7.52,8.28125,7.2,7.5425,10.0,0,6.5,6.7,8.3,,,Fase 3 (7° e 8° ano),2.0,0
RA-343,2023,Aluno-343,FASE 3,3B,Masculino,2020,Pública,,Ágata,6.779591667,9.2,7.2,6.26,7.65625,5.7,6.9225,5.0,-2,4.5,6.7,6.0,,,Fase 5 (1° EM),3.0,1
RA-1147,2023,Aluno-1147,FASE 3,3B,Feminino,2023,Pública,,Ametista,7.072983333,8.3,8.3,6.26,7.1875,6.7,7.0075,5.0,-1,5.0,7.5,7.5,,,Fase 4 (9° ano),0.0,1
RA-345,2023,Aluno-345,FASE 3,3B,Masculino,2021,Pública,,Ágata,6.534766667,8.8,6.8,6.26,8.125,4.6,7.1725,5.0,-1,5.7,5.7,2.5,,,Fase 4 (9° ano),2.0,1
RA-336,2023,Aluno-336,FASE 3,3B,Masculino,2016,Pública,14.0,Quartzo,5.887708333,0.0,7.5,6.89,7.34375,5.1,7.255,5.0,-1,6.7,5.2,3.3,,,Fase 4 (9° ano),7.0,1
RA-346,2023,Aluno-346,FASE 3,3B,Masculino,2022,Pública,,Ametista,7.305541667,0.0,9.4,8.14,7.96875,6.2,7.84,10.0,1,6.7,5.5,6.5,,,Fase 2 (5° e 6° ano),1.0,0
RA-1148,2023,Aluno-1148,FASE 3,3B,Feminino,2023,Pública,11.0,Ametista,7.227866667,7.9,8.6,3.77,7.5,5.7,7.2125,10.0,1,5.7,5.3,6.2,,,Fase 2 (5° e 6° ano),0.0,0
RA-1149,2023,Aluno-1149,FASE 3,3C,Feminino,2023,Pública,,Ametista,7.410108333,8.3,9.8,2.52,7.96875,7.2,8.1725,5.0,-1,6.0,6.8,8.7,,,Fase 4 (9° ano),0.0,1
RA-1150,2023,Aluno-1150,FASE 3,3C,Masculino,2023,Pública,16.0,Ametista,7.076008333,9.2,9.8,2.52,7.96875,6.7,7.835,2.5,-3,7.0,6.5,6.5,,,Fase 6 (2° EM),0.0,1
RA-1151,2023,Aluno-1151,FASE 3,3C,Feminino,2023,Pública,,Ametista,7.829958333,7.5,9.5,2.52,7.65625,8.3,7.545,10.0,0,7.3,8.8,8.7,,,Fase 3 (7° e 8° ano),0.0,0
RA-356,2023,Aluno-356,FASE 3,3C,Masculino,2019,Pública,,Ágata,6.452008333,9.2,8.5,2.52,6.09375,3.4,6.5025,10.0,0,4.3,4.5,1.3,,,Fase 3 (7° e 8° ano),4.0,0
RA-1152,2023,Aluno-1152,FASE 3,3C,Masculino,2023,Pública,,Ágata,6.544916667,0.0,9.4,5.0,7.8125,6.8,7.585,5.0,-1,6.7,6.0,7.8,,,Fase 4 (9° ano),0.0,1
RA-221,2023,Aluno-221,FASE 3,3C,Masculino,2022,Pública,15.0,Ágata,6.959916667,9.6,9.0,5.0,7.1875,5.0,7.38,5.0,-2,5.5,4.8,4.8,,,Fase 5 (1° EM),1.0,1
RA-359,2023,Aluno-359,FASE 3,3C,Feminino,2019,Pública,13.0,Ametista,7.627125,9.6,9.2,2.52,7.65625,5.8,8.255,10.0,0,6.0,6.7,4.7,,,Fase 3 (7° e 8° ano),4.0,0
RA-360,2023,Aluno-360,FASE 3,3C,Feminino,2019,Pública,13.0,Quartzo,5.790875,0.0,7.3,2.52,7.34375,4.3,7.4225,10.0,0,5.3,4.8,2.8,,,Fase 3 (7° e 8° ano),4.0,0
RA-338,2023,Aluno-338,FASE 3,3D,Masculino,2019,Pública,,Topázio,8.287441667,8.3,9.1,7.52,8.59375,6.7,8.38,10.0,0,8.7,7.0,4.5,,,Fase 3 (7° e 8° ano),4.0,0
RA-339,2023,Aluno-339,FASE 3,3D,Feminino,2019,Pública,,Ametista,7.377583333,0.0,8.9,7.52,7.8125,7.1,8.255,10.0,0,7.7,5.7,7.8,,,Fase 3 (7° e 8° ano),4.0,0
RA-353,2023,Aluno-353,FASE 3,3D,Feminino,2022,Pública,12.0,Topázio,8.309016667,8.8,9.9,2.52,7.8125,8.4,8.67,10.0,0,8.5,7.3,9.5,,,Fase 3 (7° e 8° ano),1.0,0
RA-1153,2023,Aluno-1153,FASE 3,3D,Feminino,2023,Pública,14.0,Ametista,7.968658333,7.9,10.0,7.52,7.65625,7.2,8.63,5.0,-1,6.7,7.8,7.0,,,Fase 4 (9° ano),0.0,1
RA-183,2023,Aluno-183,FASE 3,3D,Feminino,2022,Pública,14.0,Ametista,7.586241667,7.9,9.7,2.52,7.96875,7.7,8.795,5.0,-1,7.0,8.0,8.2,,,Fase 4 (9° ano),1.0,1
RA-342,2023,Aluno-342,FASE 3,3D,Feminino,2021,Pública,15.0,Ametista,7.539875,7.5,8.6,7.52,7.96875,6.6,8.505,5.0,-2,6.3,7.8,5.7,,,Fase 5 (1° EM),2.0,1
RA-187,2023,Aluno-187,FASE 3,3D,Feminino,2019,Privada - Programa de Apadrinhamento,13.0,Ametista,7.809875,7.5,9.9,2.52,7.96875,6.9,8.255,10.0,0,7.3,8.7,4.7,,,Fase 3 (7° e 8° ano),4.0,0
RA-190,2023,Aluno-190,FASE 3,3D,Feminino,2022,Pública,14.0,Ágata,6.934158333,7.9,9.5,2.52,7.65625,5.7,7.9575,5.0,-1,5.8,5.2,6.0,,,Fase 4 (9° ano),1.0,1
